SESAME;JENA;SQL;MYSQL;OWLIM;
26;147;18;15;
8;3;19;11;
7;3;25;10;
15;2;11;10;
12;5;23;14;
16;4;21;15;
12;6;24;11;
13;4;20;12;
8;2;15;13;
13;5;21;14;
29;116;14;10;
9;4;27;12;
15;7;17;11;
15;3;12;11;
11;4;25;14;
8;5;16;15;
5;1;13;11;
5;2;14;11;
5;3;13;20;
10;3;16;13;
20;119;15;10;
15;3;14;11;
15;6;17;12;
21;4;15;10;
14;4;27;15;
14;4;22;13;
6;4;19;13;
4;2;14;15;
5;2;12;12;
4;2;13;15;
18;114;16;10;
11;3;15;11;
11;8;18;11;
17;6;10;10;
6;2;13;14;
5;2;15;19;
5;3;17;12;
5;2;17;11;
6;2;10;10;
6;2;13;10;
5;3;17;12;
9;3;14;11;
13;5;26;11;
9;7;21;14;
13;4;21;22;
12;5;23;14;
9;5;20;11;
12;5;27;13;
11;9;25;15;
17;4;22;12;
11;6;23;14;
15;3;19;12;
8;4;19;10;
13;8;33;14;
4;2;13;16;
6;1;13;10;
5;2;11;12;
6;2;13;12;
5;2;16;13;
5;2;13;11;
4;2;14;15;
4;2;11;12;
12;5;19;13;
11;7;22;13;
11;7;30;16;
10;8;31;16;
12;4;22;12;
15;4;20;10;
12;4;22;14;
16;4;21;12;
8;3;24;13;
6;3;15;10;
13;7;32;16;
9;2;13;16;
6;1;12;11;
4;2;14;13;
4;2;15;13;
7;2;10;10;
5;2;13;10;
4;1;16;10;
5;1;13;11;
12;8;25;15;
6;4;26;12;
9;3;25;17;
9;4;18;12;
12;4;21;11;
13;4;25;12;
11;7;31;18;
11;7;24;16;
10;7;35;16;
11;6;37;20;
11;5;21;13;
11;3;24;11;
4;2;15;11;
5;1;11;12;
4;2;11;18;
4;2;10;10;
4;1;17;12;
4;2;10;10;
5;2;14;13;
6;3;22;16;
10;4;25;15;
9;7;28;17;
11;6;40;20;
12;9;26;16;
17;3;25;14;
7;3;18;13;
11;6;28;15;
10;5;24;11;
11;7;32;17;
11;9;28;14;
11;3;24;10;
4;1;13;12;
5;3;17;15;
6;2;16;21;
6;2;21;19;
6;3;16;13;
6;2;15;18;
5;2;16;18;
7;3;18;17;
6;2;17;18;
8;2;18;14;
4;1;12;10;
5;2;13;12;
4;1;17;13;
5;2;12;10;
5;2;12;11;
5;2;18;13;
4;1;15;12;
4;2;13;13;
5;2;13;12;
5;1;14;14;
6;3;16;19;
27;2;18;16;
6;2;18;20;
6;2;20;19;
5;2;15;15;
5;3;17;14;
5;1;13;12;
6;1;12;16;
6;1;13;15;
9;3;23;16;
19;2;21;10;
4;1;10;10;
13;6;31;15;
13;5;29;14;
12;4;27;19;
79;1;11;10;
10;7;34;15;
13;5;36;17;
7;3;25;14;
6;1;12;13;
4;2;17;10;
6;2;13;14;
5;2;13;12;
5;2;12;12;
4;3;17;14;
5;1;13;12;
9;3;30;19;
39;1;13;10;
14;6;28;17;
